,,,,,,,,,
Most Popular and liked - Technical Interview questions of all time ,,,,,,,,,
,,,,,,,,,
Num,LeetCode Problem,Topic,Video Explanation,Asked By Company + Number of Times,,,,,Level
46,Roman to Integer,Hashing,https://www.youtube.com/watch?v=qmkr61ySQwQ,Amazon - 46,Adobe - 32,Apple - 27,Google - 25,Facebook - 11,Easy
47,Copy List with Random Pointer,Hashing,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,Facebook - 31,Amazon - 30,Microsoft - 7,Bloomberg - 5,Apple - 2,Medium
48,Word Ladder,Hashing,https://www.youtube.com/watch?v=isLTjdCw52s,Amazon - 53,Microsoft - 9,Linked In - 7,Facebook - 6,Google - 2,Hard
49,First Missing Positive,Hashing,https://www.youtube.com/watch?v=N8DefKVUIKw,Amazon - 18,Microsoft - 10,Adobe - 5,Google - 3,Apple - 3,Hard
50,Insert Interval,Interval,https://www.youtube.com/watch?v=16YiKk6ga7Y,Google - 15,Linked In - 8,Facebook - 6,Amazon - 4,Microsoft - 2,Medium
51,Merge Intervals,Interval,https://www.youtube.com/watch?v=n3F2v9f8OfY,Facebook - 87,Amazon - 57,Google - 31,Apple - 22,Microsoft - 17,Medium
52,Non-overlapping Intervals,Interval,https://www.youtube.com/watch?v=y8nBFmPsAF8,Facebook - 6,Amazon - 5,Microsoft - 3,Apple - 5,Google - 5,Medium
53,Remove Interval,Interval,https://www.youtube.com/watch?v=YrB_zKEHgmQ,Google - 5,Amazon - 3,Microsoft - 1,,,Medium
54,Meeting Rooms (Leetcode Premium),Interval,https://www.youtube.com/watch?v=5nqLIwo0oC0,Google - 3,Amaozn - 2,Microsoft - 6,Facebook - 2,Bloomberg - 2,Easy
55,Meeting Rooms II (Leetcode Premium),Interval,https://www.youtube.com/watch?v=sQkgNfoPrDw,Amazon - 58,Google - 22,Facebook - 20,Bloomberg - 19,Microsoft - 18,Medium
56,Add Two Numbers,Linked List,https://www.youtube.com/watch?v=MYtp__JpTns,Amazon - 36,Apple - 17,Microsoft - 11,Facebook - 11,Google - 6,Medium
57,Reverse a Linked List,Linked List,https://www.youtube.com/watch?v=FHhItaCZ2pE,Amazon - 15,Apple - 8,Microsoft - 7,Google - 4,Facebook - 3,Easy
58,Detect Cycle in a Linked List,Linked List,https://www.youtube.com/watch?v=k-gTqlOBT1g,Amazon - 9,Spotify - 4,Apple - 2,Microsoft - 2,Google - 2,Easy
59,Merge Two Sorted Lists,Linked List,https://www.youtube.com/watch?v=Bwymxn-n6XA,Amazon - 21,Microsoft - 13,Facebook - 12,Apple - 4,Bloomberg - 4,Easy
60,Merge K Sorted Lists,Linked List,https://www.youtube.com/watch?v=SlKgDtpJnxg,Amazon - 54,Facebook - 42,Microsoft - 17,Apple - 10,Google - 8,Hard
61,Remove Nth Node From End Of List,Linked List,https://www.youtube.com/watch?v=hZtAW3cp8vQ,Facebook - 18,Amazon - 9,Google - 4,Microsoft - 4,Apple - 3,Medium
62,Reorder List,Linked List,https://www.youtube.com/watch?v=lBdS4AV1EGw,Amazon - 9,Microsoft - 8,Facebook - 3,Google - 3,Uber - 3,Medium
63,Middle of the Linked-List,Linked List,https://www.youtube.com/watch?v=s7cHxJBuhjg,Apple - 4,Amazon - 3,Facebook - 2,Google - 2,Microsoft - 3,Easy
64,Flatten Binary Tree to Linked List,Linked List,https://www.youtube.com/watch?v=3IrFrQ2JSfg,Amazon - 9,Microsoft - 5,Facebook - 3,Apple - 2,Google - 2,Medium
65,Reverse Nodes in k-Group,Linked List,https://www.youtube.com/watch?v=P9_K8M4nnf0,Microsoft - 15,Amazon - 13,Google - 03,Apple - 03,Facebook - 02,Hard
66,Set Matrix Zeroes,Matrix,https://www.youtube.com/watch?v=JwQvyZcwcP4,microsoft - 8,Amazon - 5,Bloomberg - 4,Facebook - 4,Apple - 2,Medium
67,Spiral Matrix,Matrix,https://www.youtube.com/watch?v=xUpnTpzMqfI,Microsoft - 20,Amazon - 10,Apple - 8,Facebook - 8,Google - 7,Medium
68,Rotate Image,Matrix,https://www.youtube.com/watch?v=dF1E3G9wBCw,Cisco - 18,Apple - 11,Facebook - 10,Microsoft - 9,Amazon - 9,Medium
69,Longest Increasing Path in a Matrix,Matrix,https://www.youtube.com/watch?v=gvwTGXP-reQ,Google - 26,Amazon - 6,DoorDash - 5,Facebook - 3,Tik tok - 03,Hard
70,Word Search,Matrix,https://www.youtube.com/watch?v=5VRCAx2DVas,Amazon - 38,microsoft - 19,Twitter - 17,Uber - 16,Facebook - 10,Medium
71,Valid Sudoku,Matrix,https://www.youtube.com/watch?v=q2fl7lUkc8o,Amazon - 24,Apple - 15,Uber - 7,Microsoft - 4,Google - 2,Medium
72,Game of Life,Matrix,https://www.youtube.com/watch?v=1FQNMDPZXRc,Amazon - 10,Bloomberg - 5,Google - 3,Microsoft - 2,DoorDash - 2,Medium
73,LRU Cache,Design,https://www.youtube.com/watch?v=VPq5dlxaeP8,Amazon - 102,Microsoft - 36,Facebook - 29,Apple - 29,Google - 11,Medium
74,Insert Delete GetRandom O(1),Design,https://www.youtube.com/watch?v=cRPoqZOlDkg,Bloomberg - 35,Linked In - 17,Facebook - 12,Microsoft - 11,Uber - 7,Medium
75,Logger Rate Limiter,Design,https://www.youtube.com/watch?v=gYNSX9yVuhQ,Google - 48,Microsoft - 5,Amazon - 3,Apple - 3,Netflix - 3,Easy
76,Design Tic-Tac-Toe,Design,https://www.youtube.com/watch?v=eaBYb0uSfBM,Amazon - 14,Facebook - 6,Microsoft - 5,Apple - 2,Google - 4,Medium
77,Moving Average from Data Stream,Design,https://www.youtube.com/watch?v=WTuA4qNZky4,Facebook - 23,Spotify - 21,Google - 4,Apple - 3,Amazon - 3,Easy
78,Merge Sorted Array,Sorting,https://www.youtube.com/watch?v=05mXJB5SLA8,Facebook - 44,Microsoft - 13,Amazon - 9,Apple - 6,LinkedIn - 4,Easy
79,Largest Number,Sorting,https://www.youtube.com/watch?v=q6tyGuVVbfE,Amazon - 6,Microsoft - 3,Apple - 3,Bloomberg - 2,Facebook - 3,Medium
80,Sort List,Sorting,https://www.youtube.com/watch?v=7halZ77R55o,Apple - 6,Microsoft - 5,Amazon - 2,Facebook - 7,Tik tok - 2,Medium
81,Sort Colors,Sorting,https://www.youtube.com/watch?v=HO-qzdL_x8U,Amazon - 10,Microsoft - 7,Apple - 7,Facebook - 3,Google - 2,Medium
82,Majority Element,Sorting,https://www.youtube.com/watch?v=UoTI6zBIBMo,Amazon - 9,Google - 4,Apple - 4,Microsoft - 2,Bloomberg - 2,Easy
83,Longest Substring Without Repeating Characters,String,https://www.youtube.com/watch?v=RMQ-gRQAY0o,Amazon - 58,microsoft - 30,Bloomberg - 22,Facebook - 20,Google - 19,Medium
84,Longest Repeating Character Replacement,String,https://www.youtube.com/watch?v=FYyWsqFjkZk,Google - 9,Uber - 7,Amazon - 5,Adobe - 2,Facebook - 4,Medium
85,Fizz Buzz,String,https://www.youtube.com/watch?v=E3eO7jTFElU,Google - 5,Amazon - 4,Facebook - 3,Apple - 2,Tik tok - 6,Easy
86,Longest Common Prefix,String,https://www.youtube.com/watch?v=PWoIZxcamsQ,Amazon - 20,Facebook - 15,Apple - 15,Google - 10,Microsoft - 7,Easy
87,Minimum Window Substring,String,https://www.youtube.com/watch?v=tMx5JZSBWIE,Facebook - 18,Amazon - 16,Linked In - 9,Lyft - 9,Microsoft - 8,Hard
88,Valid Anagram,String,https://www.youtube.com/watch?v=qyQni3rz-ko,Amazon - 13,Bloomberg - 10,Spotify - 9,Facebook - 6,Apple - 6,Easy
89,Group Anagrams,String,https://www.youtube.com/watch?v=dEMcIpBOHpg,Amazon - 56,Microsoft - 27,Facebook - 17,Apple - 14,Google - 7,Medium
90,Valid Parentheses,String,https://www.youtube.com/watch?v=D4l9TK0tWcI,Amazon - 52,Linked In - 33,Facebook - 23,Microsoft - 21,Bloomberg - 17,Easy
91,Valid Palindrome,String,https://www.youtube.com/watch?v=MFPmKyThyHk,Facebook - 74,Amazon - 10,microsoft - 9,Apple - 6,Bloomberg - 4,Easy
92,Longest Palindromic Substring,String,https://www.youtube.com/watch?v=92KOT17h8zw,Amazon - 40,microsoft - 19,Google - 15,Adobe - 10,Apple - 10,Medium
93,Letter Combinations of a Phone Number,String,https://www.youtube.com/watch?v=dmYiOfy8a-k,Amazon - 38,Microsoft - 27,Facebook - 10,Apple - 09,Google - 08,Medium
94,Palindromic Substrings,String,https://www.youtube.com/watch?v=WfkVe8egZbU,Facebook - 14,Amazon - 4,Google - 3,Apple - 3,Twitter - 2,Medium
95,Encode and Decode Strings (Leetcode Premium),String,https://www.youtube.com/watch?v=P5LQbpI4p_I,Facebook - 2,Linked In - 2,Square - 2,Uber - 2,Google - 7,Medium
96,Palindrome Linked List,String,https://www.youtube.com/watch?v=uGGAJxeXa4U,Amazon - 16,Facebook - 7,Microsoft - 7,Apple - 7,Google - 5,Easy
97,Text Justification,String,https://www.youtube.com/watch?v=Pf_1Ox9ud_w,Google - 23,Linked In - 17,Uber - 9,Facebook - 4,Microsoft - 3,Hard
98,Min Stack,Stack,https://www.youtube.com/watch?v=To2iap-ac3g,Amazon - 17,Microsoft - 11,Bloomberg - 5,Facebook - 3,Apple - 2,Medium
99,Largest Rectangle in Histogram,Stack,https://www.youtube.com/watch?v=IasMlShanvc,Amazon - 15,Microsoft - 4,Facebook  -  3,Bloomberg - 3,Apple - 2,Hard
100,Minimum Remove to Make Valid Parentheses,Stack,https://www.youtube.com/watch?v=h9skhJ_UZQo,Facebook - 142,Amazon - 7,Bloomberg - 5,Google - 3,Microsoft - 4,Medium
101,Longest Valid Parentheses,Stack,https://www.youtube.com/watch?v=GrSL3c8G6k8,Amazon - 11,Microsoft - 4,Google - 2,Facebook - 2,Apple - 2,Hard
102,Max Stack,Stack,https://www.youtube.com/watch?v=SyDmmNQFW_I,Linked In - 34,Bloomberg - 4,Lyft - 3,Amazon - 3,Microsoft - 7,Hard
103,Maximum Depth of Binary Tree,Tree,https://www.youtube.com/watch?v=yi7ym5R5aYI,Linked In - 8,Amazon - 5,Google - 5,Spotify - 4,Microsoft - 4,Easy
104,Same Tree,Tree,https://www.youtube.com/watch?v=yi7ym5R5aYI,Linked In - 8,Amazon - 4,Google - 2,Bloomberg - 2,Apple - 2,Easy
105,Symmetric Tree,Tree,https://www.youtube.com/watch?v=NeSeH2ECZUw,Amazon - 9,Linked In - 5,Google - 5,Facebook - 4,Apple - 3,Easy
106,Invert/Flip Binary Tree,Tree,https://www.youtube.com/watch?v=yb2Y9h2YWio,Amazon - 5,Facebook - 5,Google - 3,microsoft - 2,Apple - 2,Easy
107,Binary Tree Maximum Path Sum,Tree,https://www.youtube.com/watch?v=6wv9yMSenvQ,Amazon - 20,DoorDash - 18,Microsoft - 12,Facebook - 9,Google - 6,Hard
108,Binary Tree Level Order Traversal,Tree,https://www.youtube.com/watch?v=tBJ1a5ljFCQ,Amazon - 11,Linked in - 11,Microsoft - 9,Facebook - 5,Google - 2,Medium
109,Serialize and Deserialize Binary Tree,Tree,https://www.youtube.com/watch?v=vqbpTOU-LS4,Amazon - 26,Microsoft - 16,Linked in - 15,Uber - 6,Google - 4,Hard
110,Subtree of Another Tree,Tree,https://www.youtube.com/watch?v=YOW_-ptARNE,Amazon - 7,Microsoft - 2,Google - 2,Facebook - 9,Apple - 2,Easy
111,Find Leaves of Binary Tree,Tree,https://www.youtube.com/watch?v=VZCWLZ5PvKM,Google - 52,Linked In - 15,Amazon - 8,Microsoft - 4,Facebook - 2,Medium
112,Construct Binary Tree from Preorder and Inorder Traversal,Tree,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,Microsoft - 6,Amazon - 3,Bloomberg - 2,Google - 2,Apple - 2,Medium
113,Validate Binary Search Tree,Tree,https://www.youtube.com/watch?v=QaCMLopSwWI,Amazon - 25,Microsoft - 12,Bloomberg - 12,Facebook - 5,Uber - 3,Medium
114,Kth Smallest Element in a BST,Tree,https://www.youtube.com/watch?v=tAUB05a6ys4,Uber - 17,Amazon - 8,Microsoft - 3,Facebook - 2,Apple - 2,Medium
115,Lowest Common Ancestor of BST,Tree,https://www.youtube.com/watch?v=1HUmPsyFb9U,Linked in - 12,Facebook - 5,Amazon - 3,Apple - 3,Google - 2,Medium
116,Binary Tree Zigzag Level Order Traversal,Tree,https://www.youtube.com/watch?v=Oy3g4SEKNw0,Facebook - 8,Bloomberg - 8,Amazon - 3,Microsoft - 2,Apple - 2,Medium
117,Implement Trie (Prefix Tree),Tree,https://www.youtube.com/watch?v=nLTqtBLhPbQ,Amazon - 13,Google - 8,Twitter - 7,Microsoft - 5,Snapchat - 5,Medium
118,Add and Search Word,Tree,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,Amazon - 9,Google - 5,Microsoft - 4,Apple - 2,Facebook - 8,Medium
119,Word Search II,Tree,https://www.youtube.com/watch?v=8K2Sh9ingJA,Amazon - 28,Uber - 28,Cisco - 12,Microsoft - 9,Google - 6,Hard
120,High Five,Heap,https://www.youtube.com/watch?v=z4c5QzarJxI,Goldman Sachs - 17,Amazon - 5,,,,Easy
121,Top K Frequent Elements,Heap,https://www.youtube.com/watch?v=QubWUx59QCk,Facebook - 73,Amazon - 30,Microsoft - 8,Google - 7,Uber - 7,Medium
122,Kth Largest Element in an Array,Heap,https://www.youtube.com/watch?v=kmUL7CAOSwc,Facebook - 64,Amazon - 19,LinkedIn - 14,Microsoft - 9,Google - 6,Medium
123,Sliding Window Maximum,Heap,https://www.youtube.com/watch?v=GIYk1wit12k,Amazon - 34,Google - 13,Apple - 7,Facebook - 5,Microsoft - 4,Hard
124,Find Median from Data Stream,Heap,https://www.youtube.com/watch?v=IKpM6Q8wTIY,Amazon - 26,Microsoft - 14,Facebook - 6,Apple - 5,Google - 4,Hard
125,Employee Free Time,Heap,https://www.youtube.com/watch?v=99l7goR4y0U,Google - 10,Uber - 4,Apple - 3,Microsoft - 2,Amazon - 3,Hard
126,Sum of Two Integers,Binary-Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Adobe - 2,Facebook - 3,Amazon - 3,TCS - 3,Microsoft - 3,Medium
127,Number of 1 Bits,Binary-Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Box - 11,Amazon - 7,Facebook - 5,Qualcomm - 4,Cisco - 4,Easy
128,Counting Bits,Binary-Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Bloomberg - 3,Microsoft - 3,Google - 2,Amazon - 2,Apple - 2,Easy
129,Missing Number,Binary-Bit Manipulation,https://www.youtube.com/watch?v=-pLW7935dlc,Microsoft - 13,Amazon - 12,Apple - 4,Adobe - 3,Facebook - 3,Easy
130,Reverse Bits,Binary-Bit Manipulation,https://www.youtube.com/watch?v=-7bpRBMPXh8,Apple - 3,Facebook - 3,Microsoft - 2,Qualcomm - 2,Amazon - 3,Easy
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NEETCODE 150 Solved,,,,,,,,,
,,,,,,,,,
Num,LeetCode Problem,Topic,Video Explanation,Difficulty,,,,,
1,Contains Duplicate,Arrays & Hashing,https://www.youtube.com/watch?v=c_q_Pc2yg_0,Easy,,,,,
2,Valid Anagram,Arrays & Hashing,https://www.youtube.com/watch?v=qyQni3rz-ko,Easy,,,,,
3,Two Sum,Arrays & Hashing,https://www.youtube.com/watch?v=NP9nLwKzXGA,Easy,,,,,
4,Group Anagrams,Arrays & Hashing,https://www.youtube.com/watch?v=dEMcIpBOHpg,Medium,,,,,
5,Top K Frequent Elements,Arrays & Hashing,https://www.youtube.com/watch?v=QubWUx59QCk,Medium,,,,,
6,Product of Array Except Self,Arrays & Hashing,https://www.youtube.com/watch?v=UxmLwxH-lhM,Medium,,,,,
7,Valid Sudoku,Arrays & Hashing,https://www.youtube.com/watch?v=q2fl7lUkc8o,Medium,,,,,
8,Encode and Decode Strings,Arrays & Hashing,https://www.youtube.com/watch?v=P5LQbpI4p_I,Medium,,,,,
9,Longest Consecutive Sequence,Arrays & Hashing,https://www.youtube.com/watch?v=sJBf-JdWGhM,Medium,,,,,
10,Valid Palindrome,Two Pointers,https://www.youtube.com/watch?v=MFPmKyThyHk,Easy,,,,,
11,Two Sum II Input Array Is Sorted,Two Pointers,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Medium,,,,,
12,3Sum,Two Pointers,https://www.youtube.com/watch?v=WtloSzFYvho,Medium,,,,,
13,Container With Most Water,Two Pointers,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Medium,,,,,
14,Trapping Rain Water,Two Pointers,https://www.youtube.com/watch?v=AFl_VxaO_F0,Hard,,,,,
15,Best Time to Buy And Sell Stock,Sliding Window,https://www.youtube.com/watch?v=CCQBvgPages,Easy,,,,,
16,Longest Substring Without Repeating Characters,Sliding Window,https://www.youtube.com/watch?v=RMQ-gRQAY0o,Medium,,,,,
17,Longest Repeating Character Replacement,Sliding Window,https://www.youtube.com/watch?v=FYyWsqFjkZk,Medium,,,,,
18,Permutation In String,Sliding Window,https://www.youtube.com/watch?v=mIorIJvhl8E,Medium,,,,,
19,Minimum Window Substring,Sliding Window,https://www.youtube.com/watch?v=tMx5JZSBWIE,Hard,,,,,
20,Sliding Window Maximum,Sliding Window,https://www.youtube.com/watch?v=GIYk1wit12k,Hard,,,,,
21,Valid Parentheses,Stack,https://www.youtube.com/watch?v=D4l9TK0tWcI,Easy,,,,,
22,Min Stack,Stack,https://www.youtube.com/watch?v=To2iap-ac3g,Medium,,,,,
23,Evaluate Reverse Polish Notation,Stack,https://www.youtube.com/watch?v=vDRZN5i4b8U,Medium,,,,,
24,Generate Parentheses,Stack,https://www.youtube.com/watch?v=VzMyeCMLdPI,Medium,,,,,
25,Daily Temperatures,Stack,https://www.youtube.com/watch?v=jmuo4BBfl3I,Medium,,,,,
26,Car Fleet,Stack,https://www.youtube.com/watch?v=TPSiTAFhszA,Medium,,,,,
27,Largest Rectangle In Histogram,Stack,https://www.youtube.com/watch?v=IasMlShanvc,Hard,,,,,
28,Binary Search,Binary Search,https://www.youtube.com/watch?v=t3yPHFyKxr4,Easy,,,,,
29,Search a 2D Matrix,Binary Search,https://www.youtube.com/watch?v=dP4cb8zbohY,Medium,,,,,
30,Koko Eating Bananas,Binary Search,https://www.youtube.com/watch?v=3m3QZeiH3KI,Medium,,,,,
31,Find Minimum In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=Dr69TSfv9JI,Medium,,,,,
32,Search In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=sE_4DzVc71w,Medium,,,,,
33,Time Based Key Value Store,Binary Search,https://www.youtube.com/watch?v=u08L8DaDoOU,Medium,,,,,
34,Median of Two Sorted Arrays,Binary Search,https://www.youtube.com/watch?v=LRM4qiHLYCE,Hard,,,,,
35,Reverse Linked List,Linked List,https://www.youtube.com/watch?v=FHhItaCZ2pE,Easy,,,,,
36,Merge Two Sorted Lists,Linked List,https://www.youtube.com/watch?v=Bwymxn-n6XA,Easy,,,,,
37,Reorder List,Linked List,https://www.youtube.com/watch?v=lBdS4AV1EGw,Medium,,,,,
38,Remove Nth Node From End of List,Linked List,https://www.youtube.com/watch?v=hZtAW3cp8vQ,Medium,,,,,
39,Copy List With Random Pointer,Linked List,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,Medium,,,,,
40,Add Two Numbers,Linked List,https://www.youtube.com/watch?v=MYtp__JpTns,Medium,,,,,
41,Linked List Cycle,Linked List,https://www.youtube.com/watch?v=k-gTqlOBT1g,Easy,,,,,
42,Find The Duplicate Number,Linked List,https://www.youtube.com/watch?v=Lu3if4xOA1s,Medium,,,,,
